index,md5,aHash,aHash_binary,dHash,dHash_binary,pHash,pHash_binary,wHash,wHash_binary
20,00b5d45433391146ce98cd70a91bef08,1098164120422760072,0000111100111101011101100111001011111110111000001011111010001000,8714962834150614040,0111100011110001110001001000011000011000010001110110010000011000,14303466772797678239,1100011010000000000111110011111100110001001101010110001010011111,1097882576693018240,0000111100111100011101100110001011111100111000001011111010000000
21,00dd12e8106d4679c580a3d5d5e33fb7,17027580355292160,0000000000111100011111100111111001111110011101100010110000000000,8133721459385489520,0111000011100000110010001001001010110000101001001101100001110000,14455190774745360076,1100100010011011001001110110110000111001001100110110011011001100,17027580355820544,0000000000111100011111100111111001111110011111100011110000000000
22,00e3b69b18bfad7980c1621256ee10fa,4827856979984801792,0100001011111111111111100101100000011110011000100110000000000000,11148296607031415332,1001101010110110101101001011001010101000110011001101001000100100,14167308079990925214,1100010010011100011000111010001100011011011000010110011110011110,4503457206764724224,0011111001111111011111100111100000011110011000100110000000000000
23,00eef6a2ac57e987f4750c6eff4e93d6,8681953262342782464,0111100001111100011111100111111000111110011111000011111000000000,13956911297899065964,1100000110110000111010001110000011101000111010001111001001101100,15042139039162394423,1101000011000000011010011100001001101011010011110110011100110111,8682516212258445312,0111100001111110011111100111111000111100001111000001100000000000
24,00fcc728e4187885be9ee6012ae99c16,4358437714936090220,0011110001111100010010000000001001111110011011100100111001101100,7552689058462080217,0110100011010000100010101010111011001100100111001001110011011001,10452655269568199902,1001000100001111010010101001011001001110001110100011110011011110,4358437714936098412,0011110001111100010010000000001001111110011011100110111001101100
25,0106dbe7aee31e07c63d357a4147eb11,18428940781436568063,1111111111000000110000000000000000000000001111001000000111111111,4617780308876798722,0100000000010101101001101011100110010001011001010010101100000010,18046457564892202360,1111101001110001111001011000101010000001100011111000010101111000,18428941606271812095,1111111111000000110000001100000000001100001111111000000111111111
26,011858556ad3a5ef1a6bbc6ad9eaae09,4395125792669842944,0011110011111110100111111001111100111111001111100011111000000000,15337072555462935232,1101010011011000001110100011101011011010110000101100001011000000,10806464853096468099,1001010111111000010001101000011101011110100011110000111010000011,4390462209788886528,0011110011101110000011100001111000111110001111100011111000000000
27,0119a4fcc4f2b53ef25677eaa1d4b86c,1097330589696,0000000000000000000000001111111101111110000000000000000000000000,4579246486323200,0000000000010000010001001100110011101000001010000000000000000000,10602719113025777370,1001001100100100011011001101101110010001001001010110111011011010,5495380246528,0000000000000000000001001111111101111110001100000000000000000000
28,013cd79973f9e26cd86719a988227c0c,3206086289656790528,0010110001111110010011100111111001101110001111100011111000000000,15620905365872493264,1101100011001000100110101010101011001010110100101100001011010000,10806469251646171923,1001010111111000010010101000011101111100100011010010101100010011,900243279369354752,0000110001111110010011100111111000101110001111100011111000000000
29,01406edcdaadbcad1db982acb063e56c,106102859497472,0000000000000000011000000111111111111111010000000000000000000000,1171150130926125056,0001000001000000110000101101011011001100100000010000000000000000,13909155211530035951,1100000100000111001111101111100010010101000001010110001011101111,140187732475904,0000000000000000011111110111111111111111111111110000000000000000
30,0144d5cf23c76b43ad832dbaa603638b,2197558550828563480,0001111001111111010010111101101111011011010000100011110000011000,8272715259770752113,0111001011001110100101101011001010110010100101101100110001110001,9630129317595478090,1000010110100101000101111001011101111100010110100111100001001010,2197576106507385856,0001111001111111010110111101001101011011010000100011110000000000
31,01468a69ca8676b51a357676e0856c88,35042529166392832,0000000001111100011111101111111010011110111111100111111000000000,15697530235274450116,1101100111011000110101001001010001110100011111001101010011000100,15297051721150311685,1101010001001010000010110111111000111101111100010010110100000101,35041839824125440,0000000001111100011111100101111000011110111111100011111000000000
32,014f69777d2e0c87f2954ad252d52810,1764987190019751936,0001100001111110011111100111111101111110001111100000000000000000,8140529936438980721,0111000011111000111110001101100011001000111000001111000001110001,10778620558857370665,1001010110010101010110100100101001101011011010100111110000101001,1764987190019751936,0001100001111110011111100111111101111110001111100000000000000000
33,015f0df20c9f361069734ab048dcf371,18380178467090119423,1111111100010011100000101110111011110111001100001011101011111111,12192746308579448405,1010100100110101010101100010101011101111010101010101011001010101,17233194134607194533,1110111100101000100110101100001010010010100110110110100110100101,17821203325509479167,1111011101010001101000100000000011110111000000001010101011111111
34,01606d42c64e4d15ea07d4e1fbd0c40d,9006210237561994752,0111110011111100011111000111111001111110010111100111111000000000,16841677654776519880,1110100110111001101010001001100010010010100101101001110011001000,15049458465524559042,1101000011011010011010101011110100101011100101100010110011000010,3791037471020436992,0011010010011100011110000111111001111110010111100100111000000000
35,01627db48f9fb454264c2dd8a2777e6e,71933965812891392,0000000011111111100011111000111110001111100011111111111100000000,9680585639302158976,1000011001011000010110010101100101011000010110100101101010000000,11230399281881561882,1001101111011010011001001010010101001010010110100011101100011010,71792676412849920,0000000011111111000011110000111100001111000011111111111100000000
36,016765f7f2abaea0b44edcbf326968b7,4070830194941656576,0011100001111110011111100111111001111110011011100111111000000000,15618699857115274468,1101100011000000110001001100010011000100110011001101110011100100,9352422212383227524,1000000111001010011110100111001101101110100100110011111010000100,4070267236364090368,0011100001111100011111100111110001111100011001000111110000000000
37,016eb6d8dad949c95bc2929f80d174b3,259820256768,0000000000000000000000000011110001111110011111100111111000000000,18015226648653892,0000000001000000000000001100000011010000111100001111000001000100,13996410022689389281,1100001000111101001111001100001001101101000111100011101011100001,543288098308,0000000000000000000000000111111001111110011111100111111000000100
